हर एक,everyone
सबकुछ,evrything
कुछ लोग,some
कुछ,some
कुछ लोग,few
कुछ,few
कुछ लोग,the few
कुछ एक,a few
कुछ,a few
कइयों,many
थोड़ा ही,little
थोड़ा,little
थोड़ा सा,a little
अधिक,much
अधिक,a lot
बहुत,a lot
बहुत,plenty
बहुत,many
बहुतों,many
बहुत लोग,many
बहुत ज्यादा,plenty
बहुत अधिक,plenty
ज्यादा,many
ज्यादा,much
one,one
आपस में,each other
एक दूसरे से,each other
एक दूसरे का,one another
एक दूसरे की,one another
एक दूसरे के,one another
एक दूसरे को ,each other
कौन,who
क्या,what
किसका,whose
किसके,who
किनका,whose
किनके,who
किसे,whom
किन्हें,whom
किसने,who
किस,whom
यदि,if
अगर,if
किसको,whom
किसको,who
किस,what
किस,which
कितना,what
कितनी,how
कितने,how many
क्यों,why
कहाँ,where
किधर,where
कैस्,how
कितन्,how much
क्या,whether
क्या,if
कौन,who
और,and
फिर,then
तथा,and
एवं,and
भी,too
व,and
जब,when
जहाँ,where
जब कि,whenever
जबतक कि,until
जबतक,as long as
जब भी,whenever
जैसे ही,as soon as
हाँला कि,
कहीं से भी,whencesoever
किसी कारण से भी,whencever
जहाँ कहीं भी,wherever
वा,or
या,or
चाहे,or
अथवा,or
न कि,not
क्या,what
नहीं तो,otherwise
कि,that
ऊर्फ,alias
लेकिन,but
मगर,but
किन्तु,but
परन्तु,but
वरन्,but
पर,but
बल्कि,but rather
नही तो,otherwise
वरना,otherwise
अन्यथा,otherwise
इसलिए,because
सो,because
अतः,because
अतएव,so
क्योंकि,because
जोकि,which
इस कारण,so
इसलिए कि,because
कि,that
ताकि,because
इसलिए कि,because
जिससे,so
जो,which
तो,
यदि,
अगर,if
यद्यपि,although
तो भी,nevertheless
तथापि,nevertheless
फिर भी,nevertheless
चाहे,even if
तथापि,nevertheless
कि,that
अर्थात,because
जो,although
कि,that
मानो,that
याने,that
यानी,that
जब,after
अरे,oh
अरे कब,oh when
क्या,what
ऐं,what
हूँ,huh
ओहो,oho
आहा,aha
हां,yes
वाह,wonderful
सच,really
हैं,hey
बाप रे,oh
बाप रे बाप,oh
अह,wonderful
दैया रे,oh
ओ भगवान,oh my god
वाह्,splendid
अहा,ah
शाबाश,welldone
धन्य,blessing
जय,blessing
क्या बात है,welldone
बहुत ख़ूब,excelsior
बहुत अच्छा,excelsior
अतिउत्तम,excelsior
आह,ow
ओह,oh
हा,alas
हाय,alas
हाय दैया रे,alas
बाप रे,alas
दंइया रे,alas
माँई रे,alas
ओ माँ,alas
ऊह,ouch
उई,ouch
उई माँ,alas
हा-हा,alas
आह,oh
ठीक,okay
बिलकुल,well
अच्छा,good
बहुत अच्छा,very good
हाँ,ah
हाँ-हाँ,yes
बहुत खूब,fine
क्या बात है,very good
छिह,boo
धिक्,ugh
धत्,reproof
दुर,out of the way
हट,out of the way
चुप,stop it
चुप रहो,stop it
भग,out of the way
ऊँह,
ऊँहूँ,ugh
हाँ-हाँ,yes
ठीक-ठीक,all right
ठीक है-ठीक है,all right
अच्छा,okay
भला,well
अवश्य,sure
जी हाँ,yes
बिलकुल,sure
जरूर,sure
खैर,indeed
अस्तु,very well
जय हो,hurrh
जियो,well done
खुश रहो,be happy
आयुष्मान भव,blessing
भाग्यशाली भव,good luck
भाग्यशाली हो,BLESS
भगवान भला हो,BLESS
हे,hello
हे रे,hello
अरे,hello
अरी,hello
ऐ,hello
ए,hello
ओ,hello
अजी,hello
लो,hello
जी,hello
अहो,hello
क्यों,hello
बस,enough
सावधान,watch out
देखो,look out
अलविदा,adiev
अभिवादन,okay
ओ हो,a hoy
अफसोस,a hoy
ओह,
हायराम,alas
आमीन,amen
तथास्तु,okay
सचमुच,really
ठहरो,stop
रुको,stop
आगे बढ़ो,go ahead
दूर हटो,go away
भगवान कसम,by God
कसम से,i swear
तुम्हारा कल्याण हो,blees you
आच्छु,ahchoo
हुँ,ahem
वाही-वाही,ahoy
वाह,ah
अरे,ah
अच्छा,ah
ओह,ah
अच्छा,ah well
आस-पास,
बीच,
पीछे,
अनुसार,
बीच,
आरपार,
उस,
आरपार,
बाद,after
बारे,after
पीछे,after
होते,after
खोज,after
बावजूद,after
शैली,after
ओर,after
पास,against
विपरीत,against
विपरीत,against
विरूद्ध,against
लिए,against
से,against
बदले,against
खिलाफ,against
सहारे,against
बचने,against
आगे,after
पीछे,before
पूर्व,before
पहले,before
उपरान्त,after
पश्चात,after
लगभग,apporoxmately to
पहले,before
अनंतर,
पूर्व,before
पहले,before
लगभग,apporoxmately
,on
,up to
आगे,infront of
पास,near to
निकट,near by
समीप,near by
नजदीक,close to
ऊपर,on
नीचे,below
बाहर,out of
परे,beyond
आगे,
ऊपर,
नीचे,
दूर,
तले,under
सामने,infront of
भीतर,within
बीच,in between
यहाँ,in
दूर,far from 
आगे,ahead from
जगह,inplace of
ओर,side
तरफ,side
प्रति,towards
पार,across
आरपार,to right across
आसपास,near by
द्वारा,by
हाथ,by
सहारे,by
बल,on to
बल,by the dinct of
मारफ़त,by
जरिए,by
ज़बानी,by
,karake
कारण,due to
बदौलत,due to
मारे,due to
लिए,for
ख़ातिर,to
वजह,reason for
हेतु,for
निमित्त,for the sake of
ख़ातिर,for the sake of
वास्ते,for the sake of
बाबत,compare to
निस्बत,compare to
विषय,about
नाम,for
लेखे,because of
भरोसे,depending on
मद्दे,on account of
समान,similar to
तुल्य,equal to
बराबर,equal to
योग्य,suitable to
लायक,suitable to
अनुरुप,according to
जैसा,like
जैसे,like
जैसी,like
तरह,like
भाँति,like
तुलना,in comparision to
नाईं,like
माफ़िक,like
सदृश,like
अनुसार,according to
अनुकूल,according to
देखा,in imitation of
सरीखा,like
सरीखे,like
ऐसा,like
मुताबिक,according to
बिरूध,contrary to
प्रतिकूल,contrary to
ख़िलाफ,contrary to
विपरीत,contrary to
उलटा,contrary to
साथ,with
समेत,with
संग,with
सहित,along with
अधीन,dependant on
पराधीन,dependant on
वश,controle
अलावा,without
अतरिक्त,without
सिवाय,without
सिवा,without
बिना,without
बगैर,without
रहित,without
बदले,in place of
एवज,in place of
,percent
